2026-04-15 20:47:22,370 run_crossover INFO === claude35-sweagent ===
2026-04-15 20:47:29,436 inspect_degradation.datasets.swe_smith INFO swe-smith: loaded 50 traces (1 distinct models)
2026-04-15 21:07:36,727 run_crossover INFO [claude35-sweagent] 23/50 done (13 steps, 0 errors)
2026-04-15 21:07:43,161 run_crossover INFO [claude35-sweagent] 24/50 done (14 steps, 0 errors)
2026-04-15 21:08:03,289 run_crossover INFO [claude35-sweagent] 25/50 done (16 steps, 0 errors)
2026-04-15 21:08:21,191 run_crossover INFO [claude35-sweagent] 26/50 done (13 steps, 0 errors)
2026-04-15 21:08:51,466 run_crossover INFO [claude35-sweagent] 27/50 done (21 steps, 0 errors)
2026-04-15 21:11:39,019 run_crossover INFO [claude35-sweagent] 28/50 done (19 steps, 0 errors)
2026-04-15 21:11:42,089 run_crossover INFO [claude35-sweagent] 29/50 done (17 steps, 0 errors)
2026-04-15 21:13:20,744 run_crossover INFO [claude35-sweagent] 30/50 done (17 steps, 0 errors)
2026-04-15 21:15:19,351 run_crossover INFO [claude35-sweagent] 31/50 done (13 steps, 0 errors)
2026-04-15 21:15:26,760 run_crossover INFO [claude35-sweagent] 32/50 done (20 steps, 0 errors)
2026-04-15 21:15:31,823 run_crossover INFO [claude35-sweagent] 33/50 done (22 steps, 0 errors)
2026-04-15 21:17:12,538 run_crossover INFO [claude35-sweagent] 34/50 done (21 steps, 0 errors)
2026-04-15 21:17:46,665 run_crossover INFO [claude35-sweagent] 35/50 done (22 steps, 0 errors)
2026-04-15 21:18:03,930 run_crossover INFO [claude35-sweagent] 36/50 done (18 steps, 0 errors)
2026-04-15 21:18:41,348 run_crossover INFO [claude35-sweagent] 37/50 done (19 steps, 0 errors)
2026-04-15 21:19:26,582 run_crossover INFO [claude35-sweagent] 38/50 done (26 steps, 0 errors)
2026-04-15 21:19:41,053 run_crossover INFO [claude35-sweagent] 39/50 done (21 steps, 0 errors)
2026-04-15 21:20:40,582 run_crossover INFO [claude35-sweagent] 40/50 done (59 steps, 0 errors)
2026-04-15 21:21:04,229 run_crossover INFO [claude35-sweagent] 41/50 done (31 steps, 0 errors)
2026-04-15 21:21:27,800 run_crossover INFO [claude35-sweagent] 42/50 done (21 steps, 0 errors)
2026-04-15 21:21:38,756 run_crossover INFO [claude35-sweagent] 43/50 done (27 steps, 0 errors)
2026-04-15 21:21:46,081 run_crossover INFO [claude35-sweagent] 44/50 done (23 steps, 0 errors)
2026-04-15 21:24:58,207 run_crossover INFO [claude35-sweagent] 45/50 done (27 steps, 0 errors)
2026-04-15 21:29:06,770 run_crossover INFO [claude35-sweagent] 46/50 done (79 steps, 0 errors)
2026-04-15 21:42:22,970 run_crossover INFO [claude35-sweagent] 47/50 done (31 steps, 0 errors)
2026-04-15 21:46:30,668 openai._base_client INFO Retrying request to /chat/completions in 0.468427 seconds
2026-04-15 21:49:26,903 openai._base_client INFO Retrying request to /chat/completions in 0.451324 seconds
2026-04-15 21:59:48,904 run_crossover INFO [claude35-sweagent] 48/50 done (70 steps, 0 errors)
2026-04-15 22:18:23,981 run_crossover INFO [claude35-sweagent] 49/50 done (75 steps, 0 errors)
2026-04-15 22:20:27,223 run_crossover INFO [claude35-sweagent] 50/50 done (58 steps, 0 errors)
2026-04-15 22:20:27,223 run_crossover INFO [claude35-sweagent] done: 50 graded, 0 errors
